,Ozone,Solar.R,Wind,Temp,Month,Day,Humidity
1,41,190,7.4,67,5,1,High
2,36,118,8,72,5,2,High
3,12,149,12.6,74,5,3,Medium
4,18,313,11.5,62,5,4,Medium
5,NA,NA,14.3,56,5,5,
6,28,NA,14.9,66,5,6,Low
7,23,299,8.6,65,5,7,
8,19,99,13.8,59,5,8,High
9,8,19,20.1,61,5,9,Medium
10,NA,194,8.6,69,5,10,
11,7,NA,6.9,74,5,11,Low
12,16,256,9.7,69,5,12,Low
13,11,290,9.2,66,5,13,High
14,14,274,10.9,68,5,14,High
15,18,65,13.2,58,5,15,Medium
16,14,334,11.5,64,5,16,
17,34,307,12,66,5,17,Low
18,6,78,18.4,57,5,18,Low
19,30,322,11.5,68,5,19,High
20,11,44,9.7,62,5,20,High
21,1,8,9.7,59,5,21,Medium
22,11,320,16.6,73,5,22,Medium
23,4,25,9.7,61,5,23,Low
24,32,92,12,61,5,24,Low
25,NA,66,16.6,57,5,25,High
26,NA,266,14.9,58,5,26,High
27,NA,NA,8,57,5,27,
28,23,13,12,67,5,28,Medium
29,45,252,14.9,81,5,29,Low
30,115,223,5.7,79,5,30,Low
31,37,279,7.4,76,5,31,High
32,NA,286,8.6,78,6,1,High
33,NA,287,9.7,74,6,2,Medium
34,NA,242,16.1,67,6,3,Medium
35,NA,186,9.2,84,6,4,Low
36,NA,220,8.6,85,6,5,Low
37,NA,264,14.3,79,6,6,High
38,29,127,9.7,82,6,7,High
39,NA,273,6.9,87,6,8,
40,71,291,13.8,90,6,9,Medium
41,39,323,11.5,87,6,10,Low
42,NA,259,10.9,93,6,11,Low
43,NA,250,9.2,92,6,12,High
44,23,148,8,82,6,13,High
45,NA,332,13.8,80,6,14,Medium
46,NA,322,11.5,79,6,15,Medium
47,21,191,14.9,77,6,16,Low
48,37,284,20.7,72,6,17,Low
49,20,37,9.2,65,6,18,High
50,12,120,11.5,73,6,19,High
51,13,137,10.3,76,6,20,Medium
52,NA,150,6.3,77,6,21,Medium
53,NA,59,1.7,76,6,22,Low
54,NA,91,4.6,76,6,23,Low
55,NA,250,6.3,76,6,24,High
56,NA,135,8,75,6,25,High
57,NA,127,8,78,6,26,Medium
58,NA,47,10.3,73,6,27,Medium
59,NA,98,11.5,80,6,28,Low
60,NA,31,14.9,77,6,29,Low
61,NA,138,8,83,6,30,High
62,135,269,4.1,84,7,1,High
63,49,248,9.2,85,7,2,Medium
64,32,236,9.2,81,7,3,Medium
65,NA,101,10.9,84,7,4,Low
66,64,175,4.6,83,7,5,Low
67,40,314,10.9,83,7,6,High
68,77,276,5.1,88,7,7,High
69,97,267,6.3,92,7,8,Medium
70,97,272,5.7,92,7,9,Medium
71,85,175,7.4,89,7,10,Low
72,NA,139,8.6,82,7,11,Low
73,10,264,14.3,73,7,12,High
74,27,175,14.9,81,7,13,High
75,NA,291,14.9,91,7,14,Medium
76,7,48,14.3,80,7,15,Medium
77,48,260,6.9,81,7,16,Low
78,35,274,10.3,82,7,17,Low
79,61,285,6.3,84,7,18,High
80,79,187,5.1,87,7,19,High
81,63,220,11.5,85,7,20,Medium
82,16,7,6.9,74,7,21,Medium
83,NA,258,9.7,81,7,22,Low
84,NA,295,11.5,82,7,23,Low
85,80,294,8.6,86,7,24,High
86,108,223,8,85,7,25,High
87,20,81,8.6,82,7,26,Medium
88,52,82,12,86,7,27,Medium
89,82,213,7.4,88,7,28,Low
90,50,275,7.4,86,7,29,Low
91,64,253,7.4,83,7,30,High
92,59,254,9.2,81,7,31,High
93,39,83,6.9,81,8,1,Medium
94,9,24,13.8,81,8,2,Medium
95,16,77,7.4,82,8,3,Low
96,78,NA,6.9,86,8,4,Low
97,35,NA,7.4,85,8,5,High
98,66,NA,4.6,87,8,6,High
99,122,255,4,89,8,7,Medium
100,89,229,10.3,90,8,8,Medium
101,110,207,8,90,8,9,Low
102,NA,222,8.6,92,8,10,Low
103,NA,137,11.5,86,8,11,High
104,44,192,11.5,86,8,12,High
105,28,273,11.5,82,8,13,Medium
106,65,157,9.7,80,8,14,Medium
107,NA,64,11.5,79,8,15,Low
108,22,71,10.3,77,8,16,Low
109,59,51,6.3,79,8,17,High
110,23,115,7.4,76,8,18,High
111,31,244,10.9,78,8,19,Medium
112,44,190,10.3,78,8,20,Medium
113,21,259,15.5,77,8,21,Low
114,9,36,14.3,72,8,22,Low
115,NA,255,12.6,75,8,23,High
116,45,212,9.7,79,8,24,High
117,168,238,3.4,81,8,25,Medium
118,73,215,8,86,8,26,Medium
119,NA,153,5.7,88,8,27,Low
120,76,203,9.7,97,8,28,Low
121,118,225,2.3,94,8,29,High
122,84,237,6.3,96,8,30,High
123,85,188,6.3,94,8,31,Medium
124,96,167,6.9,91,9,1,Medium
125,78,197,5.1,92,9,2,Low
126,73,183,2.8,93,9,3,Low
127,91,189,4.6,93,9,4,High
128,47,95,7.4,87,9,5,High
129,32,92,15.5,84,9,6,Medium
130,20,252,10.9,80,9,7,Medium
131,23,220,10.3,78,9,8,Low
132,21,230,10.9,75,9,9,Low
133,24,259,9.7,73,9,10,High
134,44,236,14.9,81,9,11,High
135,21,259,15.5,76,9,12,Medium
136,28,238,6.3,77,9,13,Medium
137,9,24,10.9,71,9,14,Low
138,13,112,11.5,71,9,15,Low
139,46,237,6.9,78,9,16,High
140,18,224,13.8,67,9,17,High
141,13,27,10.3,76,9,18,Medium
142,24,238,10.3,68,9,19,Medium
143,16,201,8,82,9,20,Low
144,13,238,12.6,64,9,21,Low
145,23,14,9.2,71,9,22,High
146,36,139,10.3,81,9,23,High
147,7,49,10.3,69,9,24,Medium
148,14,20,16.6,63,9,25,Medium
149,30,193,6.9,70,9,26,Low
150,NA,145,13.2,77,9,27,Low
151,14,191,14.3,75,9,28,High
152,18,131,8,76,9,29,High
153,20,223,11.5,68,9,30,Medium
